Biker_Age,Biker_Occupation,Biker_Education_Level,Riding_Experience,Daily_Travel_Distance,Talk_While_Riding,Smoke_While_Riding,Wearing_Helmet,Motorcycle_Ownership,Valid_Driving_License,Bike_Condition,Road_Type,Road_condition,Weather,Time_of_Day,Traffic_Density,Speed_Limit,Bike_Speed,Number_of_Vehicles,Biker_Alcohol,Accident_Severity
28,Student,Above high school,5,34,Never,Sometimes,No,Bought with own money,No,Old,Village Road,Wet,Rainy,Morning,3,50,61,1,0,Moderate Accident
29,Student,Above high school,0,1,Never,Never,No,Inherited,Yes,New,Village Road,Dry,Clear,Afternoon,2,50,93,3,0,Moderate Accident
29,Student,Above high school,2,3,Regularly,Sometimes,No,Bought with own money,No,Old,Village Road,Dry,Foggy,Night,7,50,77,3,1,Moderate Accident
22,Student,Above high school,2,43,Never,Never,No,Inherited,No,New,Village Road,Wet,Rainy,Afternoon,8,50,88,1,0,Moderate Accident
17,Student,Above high school,2,41,Regularly,Sometimes,Yes,Inherited,Yes,Old,Village Road,Dry,Clear,Noon,5,50,92,1,1,Moderate Accident
28,Student,Above high school,3,17,Regularly,Never,No,Bought with own money,No,Old,Village Road,Dry,Foggy,Afternoon,7,50,103,3,0,Moderate Accident
17,Student,Above high school,0,6,Never,Sometimes,No,Bought with own money,Yes,New,Village Road,Wet,Rainy,Evening,6,50,58,3,0,Moderate Accident
23,Student,Above high school,0,10,Never,Never,Yes,Bought with own money,No,Old,Village Road,Dry,Clear,Morning,7,50,93,2,0,Moderate Accident
30,Student,Above high school,5,44,Regularly,Sometimes,No,Bought with own money,No,New,Village Road,Dry,Foggy,Afternoon,7,50,114,2,0,Moderate Accident
28,Student,Above high school,0,46,Never,Never,No,Inherited,Yes,Old,Village Road,Wet,Rainy,Night,6,50,63,3,0,Moderate Accident
15,Student,Above high school,5,17,Regularly,Sometimes,No,Bought with own money,No,Old,Village Road,Dry,Clear,Afternoon,4,50,114,3,0,Moderate Accident
24,Student,Above high school,4,26,Regularly,Never,No,Inherited,Yes,New,Village Road,Dry,Foggy,Noon,3,50,104,2,0,Moderate Accident
18,Student,Above high school,4,43,Never,Sometimes,Yes,Inherited,No,Old,Village Road,Wet,Rainy,Afternoon,2,50,62,2,0,Moderate Accident
15,Student,Above high school,0,34,Never,Never,No,Bought with own money,No,New,Village Road,Dry,Clear,Morning,4,50,85,1,0,Moderate Accident
26,Student,Above high school,1,26,Regularly,Sometimes,No,Bought with own money,Yes,Old,Village Road,Dry,Foggy,Afternoon,6,50,88,1,0,Moderate Accident
22,Student,Above high school,1,43,Never,Never,Yes,Bought with own money,No,Old,Village Road,Wet,Rainy,Night,7,50,79,1,0,Moderate Accident
22,Student,Above high school,2,25,Regularly,Sometimes,No,Bought with own money,Yes,New,Village Road,Dry,Clear,Afternoon,6,50,90,1,0,Moderate Accident
30,Student,Above high school,0,44,Regularly,Never,No,Inherited,No,Old,Village Road,Dry,Foggy,Noon,2,50,103,3,0,Moderate Accident
29,Student,Above high school,1,2,Never,Sometimes,No,Bought with own money,No,New,Village Road,Wet,Rainy,Afternoon,1,50,92,1,0,Moderate Accident
22,Student,Above high school,0,13,Never,Never,No,Inherited,Yes,Old,Village Road,Dry,Clear,Evening,3,50,100,1,0,Moderate Accident
16,Student,Above high school,0,25,Regularly,Sometimes,Yes,Inherited,No,Old,Village Road,Dry,Foggy,Morning,4,50,79,2,0,Moderate Accident
28,Student,Above high school,0,7,Never,Never,No,Bought with own money,Yes,New,Village Road,Wet,Rainy,Afternoon,1,50,80,2,0,Moderate Accident
15,Student,Above high school,1,26,Regularly,Sometimes,No,Bought with own money,No,Old,Village Road,Dry,Clear,Night,2,50,86,1,0,Moderate Accident
18,Student,Above high school,0,36,Regularly,Never,Yes,Bought with own money,No,New,Village Road,Dry,Foggy,Afternoon,5,50,72,2,0,Moderate Accident
24,Student,Above high school,2,38,Never,Sometimes,No,Bought with own money,Yes,Old,Village Road,Wet,Rainy,Noon,3,50,59,2,0,Moderate Accident
20,Student,Above high school,3,24,Never,Never,No,Inherited,No,Old,Village Road,Dry,Clear,Afternoon,1,50,86,3,0,Moderate Accident
15,Student,Above high school,0,15,Regularly,Sometimes,No,Bought with own money,Yes,New,Village Road,Dry,Foggy,Morning,3,50,75,1,0,Moderate Accident
26,Student,Above high school,4,45,Never,Never,No,Inherited,No,Old,Village Road,Wet,Rainy,Afternoon,6,50,112,1,0,Moderate Accident
21,Student,Above high school,0,37,Regularly,Sometimes,Yes,Inherited,No,New,Village Road,Dry,Clear,Night,1,50,85,1,0,Moderate Accident
17,Student,Above high school,4,11,Regularly,Never,No,Bought with own money,Yes,Old,Village Road,Dry,Foggy,Afternoon,1,50,95,3,0,Moderate Accident
22,Student,Above high school,0,30,Never,Sometimes,No,Bought with own money,No,Old,Village Road,Wet,Rainy,Noon,5,50,98,1,0,Moderate Accident
23,Student,Above high school,3,35,Never,Never,Yes,Bought with own money,Yes,New,Village Road,Dry,Clear,Afternoon,3,50,113,2,0,Moderate Accident
27,Student,Above high school,2,25,Regularly,Sometimes,No,Bought with own money,No,Old,Village Road,Dry,Foggy,Evening,5,50,85,2,0,Moderate Accident
23,Student,Above high school,2,0,Never,Never,No,Inherited,No,New,Village Road,Wet,Rainy,Morning,5,50,76,2,0,Moderate Accident
28,Student,Above high school,2,11,Regularly,Sometimes,No,Bought with own money,Yes,Old,Village Road,Dry,Clear,Afternoon,8,50,92,3,0,Moderate Accident
16,Student,Above high school,5,14,Regularly,Never,No,Inherited,No,Old,Village Road,Dry,Foggy,Night,7,50,89,2,0,Moderate Accident
28,Student,Above high school,0,26,Never,Sometimes,Yes,Inherited,Yes,New,Village Road,Wet,Rainy,Afternoon,7,50,95,3,0,Moderate Accident
29,Student,Above high school,4,23,Never,Never,No,Bought with own money,No,Old,Village Road,Dry,Clear,Noon,7,50,70,2,0,Moderate Accident
29,Student,Above high school,4,29,Regularly,Sometimes,No,Bought with own money,No,New,Village Road,Dry,Foggy,Afternoon,5,50,90,2,0,Moderate Accident
23,Student,Above high school,3,2,Never,Never,Yes,Bought with own money,Yes,Old,Village Road,Wet,Rainy,Morning,4,50,57,3,0,Moderate Accident
19,Student,Above high school,3,43,Regularly,Sometimes,No,Bought with own money,No,Old,Village Road,Dry,Clear,Afternoon,3,50,99,3,0,Moderate Accident
19,Student,Above high school,3,1,Regularly,Never,No,Inherited,Yes,New,Village Road,Dry,Foggy,Night,6,50,100,3,0,Moderate Accident
30,Student,Above high school,2,27,Never,Sometimes,No,Bought with own money,No,Old,Village Road,Wet,Rainy,Afternoon,8,50,98,2,0,Moderate Accident
27,Student,Above high school,1,21,Never,Never,No,Inherited,No,New,Village Road,Dry,Clear,Noon,5,50,83,1,0,Moderate Accident
26,Student,Above high school,1,16,Regularly,Sometimes,Yes,Inherited,Yes,Old,Village Road,Dry,Foggy,Afternoon,5,50,92,3,0,Moderate Accident
23,Student,Above high school,5,49,Never,Never,No,Bought with own money,No,Old,Village Road,Wet,Rainy,Evening,7,50,106,2,0,Moderate Accident
